Label,Election Date,EndYear,EndYearUnix,PartyAb,StartYearUnix,Party,Annotation,Num
-2.18E+12,1901-01-01,1903-12-16,-2.08423E+12,PROT,-2.18E+12,Protectionist Party,,
-2.08E+12,1903-12-16,1906-12-12,-1.99E+12,PROT,-2.08E+12,Protectionist Party,,
-1.99E+12,1906-12-12,1910-04-03,-1.89E+12,PROT,-1.99E+12,Protectionist Party,"Around 1910, the Free Trade 
#Party and the Protectionist 
#Party merged to form the 
#Commonwealth Liberal Party 
#and oppose the Australian 
#Labor Party.",1
-1.89E+12,1910-04-03,1913-05-31,-1.79E+12,ALP,-1.89E+12,Australian Labor Party,,
-1.79E+12,1913-05-31,1914-09-05,-1.75E+12,LP,-1.79E+12,Commonwealth Liberal Party,,
-1.75E+12,1914-09-05,1917-05-05,-1.66E+12,ALP,-1.75E+12,Australian Labor Party,,
-1.66E+12,1917-05-05,1919-12-13,-1.58E+12,NAT,-1.66E+12,Nationalist Party,"In 1916, some members of the Australian Labor #Party left to form the National Labor Party over #disagreements about World War I’s conscription. #The National Labor Party would then merge with #the Commonwealth Liberal Party to form the #Nationalist Party, a united non-Labor party.",2
-1.58E+12,1919-12-13,1922-12-16,-1.48E+12,NAT,-1.58E+12,Nationalist Party,,
-1.48E+12,1922-12-16,1925-11-14,-1.39E+12,NAT,-1.48E+12,Nationalist Party,,
-1.39E+12,1925-11-14,1928-11-17,-1.30E+12,NAT,-1.39E+12,Nationalist Party,,
-1.30E+12,1928-11-17,1929-10-12,-1.27E+12,NAT,-1.30E+12,Nationalist Party,,
-1.27E+12,1929-10-12,1931-12-19,-1.20E+12,ALP,-1.27E+12,Australian Labor Party,,
-1.20E+12,1931-12-19,1934-09-15,-1.11E+12,UAP,-1.20E+12,United Australia Party,"In 1931, in response to disagreements during the Great #Depression, some members of the Australian Labor Party #left and merged with the Nationalist Party, forming the #United Australia Party. The United Australia Party would #form a coalition with the Country Party in opposition to #the Australian Labor Party.",3
-1.11E+12,1934-09-15,1937-10-23,-1.02E+12,UAP,-1.11E+12,United Australia Party,,
-1.02E+12,1937-10-23,1940-09-21,-9.24E+11,UAP,-1.02E+12,United Australia Party,,
-9.24E+11,1940-09-21,1943-08-21,-8.32E+11,UAP,-9.24E+11,United Australia Party,,
-8.32E+11,1943-08-21,1946-09-28,-7.34E+11,ALP,-8.32E+11,Australian Labor Party,"In 1944, the Liberal Party was established as a #successor to the United Australia Party. It #maintained a coalition with the Country Party in #opposition to the Australian Labor Party. From #this point on, the two-party system would be #Labor vs Liberal Coalition.",4
-7.34E+11,1946-09-28,1949-12-10,-6.33E+11,ALP,-7.34E+11,Australian Labor Party,,
-6.33E+11,1949-12-10,1951-04-28,-5.90E+11,LIB,-6.33E+11,Liberal Coalition,,
-5.90E+11,1951-04-28,1954-05-29,-4.92E+11,LIB,-5.90E+11,Liberal Coalition,,
-4.92E+11,1954-05-29,1955-12-10,-4.44E+11,LIB,-4.92E+11,Liberal Coalition,,
-4.44E+11,1955-12-10,1958-11-22,-3.51E+11,LIB,-4.44E+11,Liberal Coalition,,
-3.51E+11,1958-11-22,1961-12-09,-2.54E+11,LIB,-3.51E+11,Liberal Coalition,,
-2.54E+11,1961-12-09,1963-11-30,-1.92E+11,LIB,-2.54E+11,Liberal Coalition,,
-1.92E+11,1963-11-30,1966-11-26,-97804800000,LIB,-1.92E+11,Liberal Coalition,,
-97804800000,1966-11-26,1969-10-25,-5875200000,LIB,-97804800000,Liberal Coalition,,
-5875200000,1969-10-25,1972-12-02,92102400000,LIB,-5875200000,Liberal Coalition,,
92102400000,1972-12-02,1974-05-18,1.38E+11,ALP,92102400000,Australian Labor Party,,
1.38E+11,1974-05-18,1975-12-13,1.88E+11,ALP,1.38E+11,Australian Labor Party,"In 1974, the Northern Territory members of the #Liberal Party and the Country Party would form #a new party, the Country Liberal Party. The #Country Liberal Party was a separate party to #the Liberal and Country parties, but was still #part of the coalition opposing Labor.",5
1.88E+11,1975-12-13,1977-12-10,2.51E+11,LIB,1.88E+11,Liberal Coalition,"In 1975, the Country Party would be #renamed to the National Country #Party. Then in 1982 it was renamed #again to the National Party of #Australia. Finally, in 2006, it would #change its name to the Nationals.",6
2.51E+11,1977-12-10,1980-10-18,3.41E+11,LIB,2.51E+11,Liberal Coalition,,
3.41E+11,1980-10-18,1983-03-05,4.16E+11,LIB,3.41E+11,Liberal Coalition,,
4.16E+11,1983-03-05,1984-12-01,4.71E+11,ALP,4.16E+11,Australian Labor Party,,
4.71E+11,1984-12-01,1987-07-11,5.53E+11,ALP,4.71E+11,Australian Labor Party,,
5.53E+11,1987-07-11,1990-03-24,6.38E+11,ALP,5.53E+11,Australian Labor Party,,
6.38E+11,1990-03-24,1993-03-13,7.32E+11,ALP,6.38E+11,Australian Labor Party,,
7.32E+11,1993-03-13,1996-03-02,8.26E+11,ALP,7.32E+11,Australian Labor Party,,
8.26E+11,1996-03-02,1998-10-03,9.07E+11,LIB,8.26E+11,Liberal Coalition,,
9.07E+11,1998-10-03,2001-11-10,1.01E+12,LIB,9.07E+11,Liberal Coalition,,
1.01E+12,2001-11-10,2004-10-09,1.10E+12,LIB,1.01E+12,Liberal Coalition,,
1.10E+12,2004-10-09,2007-11-24,1.20E+12,LIB,1.10E+12,Liberal Coalition,,
1.20E+12,2007-11-24,2010-08-21,1.28E+12,ALP,1.20E+12,Australian Labor Party,"In 2008, the Queensland #members of the Liberal Party #and the Nationals would form #the Liberal National Party, #which remained in the #Liberal Coalition.",7
1.28E+12,2010-08-21,2013-09-07,1.38E+12,ALP,1.28E+12,Australian Labor Party,,
1.38E+12,2013-09-07,2016-07-02,1.47E+12,LIB,1.38E+12,Liberal Coalition,,
1.47E+12,2016-07-02,2019-05-18,1.56E+12,LIB,1.47E+12,Liberal Coalition,,
1.56E+12,2019-05-18,2022-05-21,1.65E+12,LIB,1.56E+12,Liberal Coalition,,
1.65E+12,2022-05-21,2025-05-03,1.75E+12,ALP,1.65E+12,Australian Labor Party,,
1.75E+12,2025-05-03,2026-01-01,1.78E+12,ALP,1.75E+12,Australian Labor Party,"In 2026, the two party system consists of the #Australian Labor Party vs The Liberal-National #Coalition , which is comprised of the Liberal #Party of Australia, the Nationals, The #Country-Liberal Party (Northern Territory) and #the Liberal National Party of Queensland.",8
