Row,State,DivisionNm,Year1,Party1,Year2,Party2
1,SA,Adelaide,2004,ALP,2007,ALP
2,VIC,Aston,2004,LP,2007,LP
3,VIC,Ballarat,2004,ALP,2007,ALP
4,NSW,Banks,2004,ALP,2007,ALP
5,SA,Barker,2004,LP,2007,LP
6,NSW,Barton,2004,ALP,2007,ALP
7,TAS,Bass,2004,LP,2007,ALP
8,ACT,Bean,2004,,2007,
9,VIC,Bendigo,2004,ALP,2007,ALP
10,NSW,Bennelong,2004,LP,2007,ALP
11,NSW,Berowra,2004,LP,2007,LP
12,QLD,Blair,2004,LP,2007,ALP
13,NSW,Blaxland,2004,ALP,2007,ALP
14,QLD,Bonner,2004,LP,2007,ALP
15,SA,Boothby,2004,LP,2007,LP
16,QLD,Bowman,2004,LP,2007,LP
17,TAS,Braddon,2004,LP,2007,ALP
18,NSW,Bradfield,2004,LP,2007,LP
19,WA,Brand,2004,ALP,2007,ALP
20,QLD,Brisbane,2004,ALP,2007,ALP
21,VIC,Bruce,2004,ALP,2007,ALP
22,WA,Bullwinkel,2004,,2007,
23,WA,Burt,2004,,2007,
24,NSW,Calare,2004,IND,2007,NP
25,VIC,Calwell,2004,ALP,2007,ALP
26,ACT,Canberra,2004,ALP,2007,ALP
27,WA,Canning,2004,LP,2007,LP
28,QLD,Capricornia,2004,ALP,2007,ALP
29,VIC,Casey,2004,LP,2007,LP
30,NSW,Chifley,2004,ALP,2007,ALP
31,VIC,Chisholm,2004,ALP,2007,ALP
32,TAS,Clark,2004,ALP,2007,ALP
33,NSW,Cook,2004,LP,2007,LP
34,VIC,Cooper,2004,ALP,2007,ALP
35,VIC,Corangamite,2004,LP,2007,ALP
36,VIC,Corio,2004,ALP,2007,ALP
37,WA,Cowan,2004,ALP,2007,LP
38,NSW,Cowper,2004,NP,2007,NP
39,NSW,Cunningham,2004,ALP,2007,ALP
40,WA,Curtin,2004,LP,2007,LP
41,QLD,Dawson,2004,NP,2007,ALP
42,VIC,Deakin,2004,LP,2007,ALP
43,QLD,Dickson,2004,LP,2007,LP
44,NSW,Dobell,2004,LP,2007,ALP
45,VIC,Dunkley,2004,LP,2007,LP
46,WA,Durack,2004,LP,2007,LP
47,NSW,Eden-Monaro,2004,LP,2007,ALP
48,QLD,Fadden,2004,LP,2007,LP
49,QLD,Fairfax,2004,LP,2007,LP
50,NSW,Farrer,2004,LP,2007,LP
51,ACT,Fenner,2004,ALP,2007,ALP
52,QLD,Fisher,2004,LP,2007,LP
53,VIC,Flinders,2004,LP,2007,LP
54,QLD,Flynn,2004,,2007,ALP
55,QLD,Forde,2004,LP,2007,ALP
56,WA,Forrest,2004,LP,2007,LP
57,NSW,Fowler,2004,ALP,2007,ALP
58,TAS,Franklin,2004,ALP,2007,ALP
59,WA,Fremantle,2004,ALP,2007,ALP
60,VIC,Gellibrand,2004,ALP,2007,ALP
61,NSW,Gilmore,2004,LP,2007,LP
62,VIC,Gippsland,2004,NP,2007,NP
63,VIC,Goldstein,2004,LP,2007,LP
64,VIC,Gorton,2004,ALP,2007,ALP
65,NSW,Grayndler,2004,ALP,2007,ALP
66,NSW,Greenway,2004,LP,2007,LP
67,SA,Grey,2004,LP,2007,LP
68,QLD,Griffith,2004,ALP,2007,ALP
69,QLD,Groom,2004,LP,2007,LP
70,WA,Hasluck,2004,LP,2007,ALP
71,VIC,Hawke,2004,,2007,
72,QLD,Herbert,2004,LP,2007,LP
73,SA,Hindmarsh,2004,ALP,2007,ALP
74,QLD,Hinkler,2004,NP,2007,NP
75,VIC,Holt,2004,ALP,2007,ALP
76,VIC,Hotham,2004,ALP,2007,ALP
77,NSW,Hughes,2004,LP,2007,LP
78,NSW,Hume,2004,LP,2007,LP
79,NSW,Hunter,2004,ALP,2007,ALP
80,VIC,Indi,2004,LP,2007,LP
81,VIC,Isaacs,2004,ALP,2007,ALP
82,VIC,Jagajaga,2004,ALP,2007,ALP
83,QLD,Kennedy,2004,IND,2007,IND
84,NSW,Kingsford Smith,2004,ALP,2007,ALP
85,SA,Kingston,2004,LP,2007,ALP
86,VIC,Kooyong,2004,LP,2007,LP
87,VIC,La Trobe,2004,LP,2007,LP
88,VIC,Lalor,2004,ALP,2007,ALP
89,QLD,Leichhardt,2004,LP,2007,ALP
90,QLD,Lilley,2004,ALP,2007,ALP
91,NSW,Lindsay,2004,LP,2007,ALP
92,NT,Lingiari,2004,ALP,2007,ALP
93,QLD,Longman,2004,LP,2007,ALP
94,NSW,Lyne,2004,NP,2007,NP
95,TAS,Lyons,2004,ALP,2007,ALP
96,NSW,Macarthur,2004,LP,2007,LP
97,NSW,Mackellar,2004,LP,2007,LP
98,VIC,Macnamara,2004,ALP,2007,ALP
99,NSW,Macquarie,2004,LP,2007,ALP
100,SA,Makin,2004,LP,2007,ALP
101,VIC,Mallee,2004,NP,2007,NP
102,QLD,Maranoa,2004,NP,2007,NP
103,VIC,Maribyrnong,2004,ALP,2007,ALP
104,SA,Mayo,2004,LP,2007,LP
105,VIC,McEwen,2004,LP,2007,LP
106,NSW,McMahon,2004,ALP,2007,ALP
107,QLD,McPherson,2004,LP,2007,LP
108,VIC,Melbourne,2004,ALP,2007,ALP
109,VIC,Menzies,2004,LP,2007,LP
110,NSW,Mitchell,2004,LP,2007,LP
111,VIC,Monash,2004,LP,2007,LP
112,QLD,Moncrieff,2004,LP,2007,LP
113,WA,Moore,2004,LP,2007,LP
114,QLD,Moreton,2004,LP,2007,ALP
115,NSW,New England,2004,IND,2007,IND
116,NSW,Newcastle,2004,ALP,2007,ALP
117,VIC,Nicholls,2004,LP,2007,LP
118,WA,O'Connor,2004,LP,2007,LP
119,QLD,Oxley,2004,ALP,2007,ALP
120,NSW,Page,2004,NP,2007,ALP
121,NSW,Parkes,2004,NP,2007,NP
122,NSW,Parramatta,2004,ALP,2007,ALP
123,NSW,Paterson,2004,LP,2007,LP
124,WA,Pearce,2004,LP,2007,LP
125,WA,Perth,2004,ALP,2007,ALP
126,QLD,Petrie,2004,LP,2007,ALP
127,QLD,Rankin,2004,ALP,2007,ALP
128,NSW,Reid,2004,ALP,2007,ALP
129,NSW,Richmond,2004,ALP,2007,ALP
130,NSW,Riverina,2004,NP,2007,NP
131,NSW,Robertson,2004,LP,2007,ALP
132,QLD,Ryan,2004,LP,2007,LP
133,VIC,Scullin,2004,ALP,2007,ALP
134,NSW,Shortland,2004,ALP,2007,ALP
135,NT,Solomon,2004,CLP,2007,ALP
136,SA,Spence,2004,LP,2007,ALP
137,SA,Sturt,2004,LP,2007,LP
138,WA,Swan,2004,ALP,2007,LP
139,NSW,Sydney,2004,ALP,2007,ALP
140,WA,Tangney,2004,LP,2007,LP
141,VIC,Wannon,2004,LP,2007,LP
142,NSW,Warringah,2004,LP,2007,LP
143,NSW,Watson,2004,ALP,2007,ALP
144,NSW,Wentworth,2004,LP,2007,LP
145,NSW,Werriwa,2004,ALP,2007,ALP
146,NSW,Whitlam,2004,ALP,2007,ALP
147,QLD,Wide Bay,2004,NP,2007,NP
