DivisionID,Electoral Division,State,CandidateID,GivenNm,Surname,Party,PartyAb,ElectYear
179,Adelaide,South Australia,41210,Steve,GEORGANAS,Australian Labor Party,ALP,2025
197,Aston,Victoria,40809,Mary,DOYLE,Australian Labor Party,ALP,2025
198,Ballarat,Victoria,40839,Catherine,KING,Australian Labor Party,ALP,2025
103,Banks,New South Wales,41350,Zhi,SOON,Australian Labor Party,ALP,2025
180,Barker,South Australia,41016,Tony,PASIN,Liberal Party,LP,2025
104,Barton,New South Wales,41339,Ash,AMBIHAIPAHAR,Australian Labor Party,ALP,2025
192,Bass,Tasmania,41546,Jess,TEESDALE,Australian Labor Party,ALP,2025
318,Bean,Australian Capital Territory,40676,David,SMITH,Australian Labor Party,ALP,2025
200,Bendigo,Victoria,40869,Lisa,CHESTERS,Australian Labor Party,ALP,2025
105,Bennelong,New South Wales,41329,Jerome,LAXALE,Australian Labor Party,ALP,2025
106,Berowra,New South Wales,41442,Julian,LEESER,Liberal Party,LP,2025
304,Blair,Queensland,40725,Shayne,NEUMANN,Australian Labor Party,ALP,2025
107,Blaxland,New South Wales,41316,Jason,CLARE,Australian Labor Party,ALP,2025
310,Bonner,Queensland,40727,Kara,COOK,Australian Labor Party,ALP,2025
182,Boothby,South Australia,41197,Louise,MILLER-FROST,Australian Labor Party,ALP,2025
155,Bowman,Queensland,41212,Henry,PIKE,Liberal National Party of Queensland,LNP,2025
193,Braddon,Tasmania,41513,Anne,URQUHART,Australian Labor Party,ALP,2025
108,Bradfield,New South Wales,36047,Nicolette,BOELE,Independent,IND,2025
235,Brand,Western Australia,41243,Madeleine,KING,Australian Labor Party,ALP,2025
156,Brisbane,Queensland,40731,Madonna,JARRETT,Australian Labor Party,ALP,2025
201,Bruce,Victoria,40851,Julian,HILL,Australian Labor Party,ALP,2025
329,Bullwinkel,Western Australia,41248,Trish,COOK,Australian Labor Party,ALP,2025
317,Burt,Western Australia,41253,Matt,KEOGH,Australian Labor Party,ALP,2025
109,Calare,New South Wales,36348,Andrew,GEE,Independent,IND,2025
203,Calwell,Victoria,40860,Basem,ABDO,Australian Labor Party,ALP,2025
101,Canberra,Australian Capital Territory,40677,Alicia,PAYNE,Australian Labor Party,ALP,2025
236,Canning,Western Australia,41236,Andrew,HASTIE,Liberal Party,LP,2025
157,Capricornia,Queensland,41222,Michelle,LANDRY,Liberal National Party of Queensland,LNP,2025
204,Casey,Victoria,40757,Aaron,VIOLI,Liberal Party,LP,2025
111,Chifley,New South Wales,41323,Ed,HUSIC,Australian Labor Party,ALP,2025
205,Chisholm,Victoria,40845,Carina,GARLAND,Australian Labor Party,ALP,2025
319,Clark,Tasmania,33553,Andrew,WILKIE,Independent,IND,2025
112,Cook,New South Wales,41452,Simon,KENNEDY,Liberal Party,LP,2025
