Row,PartyAb,Party,Seats Elected,TotalVotes,TotalPercentage,Year,TotalSeats,Seat Percentage
1,ALP,Australian Labor Party,94,5354138,34.56,2025,150,0.626666667
2,CLP,Country Liberal Party,0,35785,0.23,2025,150,0
3,ON,Pauline Hanson's One Nation,0,991814,6.4,2025,150,0
4,CYA,Trumpet of Patriots,0,296076,1.91,2025,150,0
5,FFP,Family First Party Australia,0,273681,1.77,2025,150,0
6,LTP,Libertarian Party,0,83474,0.54,2025,150,0
7,HMP,Legalise Cannabis Australia,0,186335,1.2,2025,150,0
8,CEC,Australian Citizens Party,0,20770,0.13,2025,150,0
9,GRPF,Gerard Rennick People First,0,71892,0.46,2025,150,0
10,AJP,Animal Justice Party,0,35312,0.23,2025,150,0
11,SOPA,FUSION | Planet Rescue | Whistleblower Protection | Innovation,0,14374,0.09,2025,150,0
12,AUC,Australian Christians,0,31365,0.2,2025,150,0
13,ASP,"Shooters, Fishers and Farmers Party",0,26968,0.17,2025,150,0
14,SAL,Socialist Alliance,0,18653,0.12,2025,150,0
15,IMO,Health Environment Accountability Rights Transparency (HEART),0,5138,0.03,2025,150,0
16,VNS,Victorian Socialists,0,23652,0.15,2025,150,0
17,IAP,Indigenous - Aboriginal Party of Australia,0,6306,0.04,2025,150,0
18,AUD,Australian Democrats,0,688,0,2025,150,0
19,GAP,The Great Australian Party,0,1509,0.01,2025,150,0
20,NAFD,Non Affiliated,0,13433,0.09,2025,150,0
21,LP,Liberal Party,18,3205216,20.69,2025,150,0.12
22,LNP,Liberal National Party of Queensland,16,1099623,7.1,2025,150,0.106666667
23,IND,Independent,10,1126051,7.27,2025,150,0.066666667
24,NP,Country Party / The Nationals,9,588778,3.8,2025,150,0.06
25,GRN,The Greens,1,1889977,12.2,2025,150,0.006666667
26,XEN,Centre Alliance,1,37453,0.24,2025,150,0.006666667
27,KAP,Katter's Australian Party,1,51775,0.33,2025,150,0.006666667
28,CLP,Country Liberal Party,0,29664,0.2,2022,151,0
29,UAPP,United Australia Party,0,604536,4.12,2022,151,0
30,ON,Pauline Hanson's One Nation,0,727464,4.96,2022,151,0
31,LDP,Liberal Democratic Party,0,252963,1.73,2022,151,0
32,CYA,Australian Federation Party,0,57555,0.39,2022,151,0
33,AJP,Animal Justice Party,0,87451,0.6,2022,151,0
34,IMO,Informed Medical Options Party,0,25850,0.18,2022,151,0
35,GAP,The Great Australian Party,0,30392,0.21,2022,151,0
36,WAP,WESTERN AUSTRALIA PARTY,0,33263,0.23,2022,151,0
37,VNS,Victorian Socialists,0,27226,0.19,2022,151,0
38,AUC,Australian Christians,0,19867,0.14,2022,151,0
39,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",0,13319,0.09,2022,151,0
40,CEC,Australian Citizens Party,0,4886,0.03,2022,151,0
41,TNL,TNL,0,6331,0.04,2022,151,0
