DivisionNm,2004,2007,2010,2013,2016,2019,2022,2025,State
Adelaide,ALP,ALP,ALP,ALP,ALP,ALP,ALP,ALP,
Aston,LP,LP,LP,LP,LP,LP,LP,ALP,
Ballarat,ALP,ALP,ALP,ALP,ALP,ALP,ALP,ALP,
Banks,ALP,ALP,ALP,LP,LP,LP,LP,ALP,
Barker,LP,LP,LP,LP,LP,LP,LP,LP,
Barton,ALP,ALP,ALP,LP,ALP,ALP,ALP,ALP,
Bass,LP,ALP,ALP,LP,ALP,LP,LP,ALP,
Batman,ALP,ALP,ALP,ALP,ALP,,,,
Bean,,,,,,ALP,ALP,ALP,
Bendigo,ALP,ALP,ALP,ALP,ALP,ALP,ALP,ALP,
Bennelong,LP,ALP,LP,LP,LP,LP,ALP,ALP,
Berowra,LP,LP,LP,LP,LP,LP,LP,LP,
Blair,LP,ALP,ALP,ALP,ALP,ALP,ALP,ALP,
Blaxland,ALP,ALP,ALP,ALP,ALP,ALP,ALP,ALP,
Bonner,LP,ALP,LNQ,LNP,LNP,LNP,LNP,ALP,
Boothby,LP,LP,LP,LP,LP,LP,ALP,ALP,
Bowman,LP,LP,LNQ,LNP,LNP,LNP,LNP,LNP,
Braddon,LP,ALP,ALP,LP,ALP,LP,LP,ALP,
Bradfield,LP,LP,LP,LP,LP,LP,LP,IND,
Brand,ALP,ALP,ALP,ALP,ALP,ALP,ALP,ALP,
Brisbane,ALP,ALP,LNQ,LNP,LNP,LNP,GRN,ALP,
Bruce,ALP,ALP,ALP,ALP,ALP,ALP,ALP,ALP,
Bullwinkel,,,,,,,,ALP,
Burt,,,,,ALP,ALP,ALP,ALP,
Calare,IND,NP,NP,NP,NP,NP,NP,IND,
Calwell,ALP,ALP,ALP,ALP,ALP,ALP,ALP,ALP,
Canberra,ALP,ALP,ALP,ALP,ALP,ALP,ALP,ALP,
Canning,LP,LP,LP,LP,LP,LP,LP,LP,
Capricornia,ALP,ALP,ALP,LNP,LNP,LNP,LNP,LNP,
Casey,LP,LP,LP,LP,LP,LP,LP,LP,
Charlton,ALP,ALP,ALP,ALP,,,,,
