No.,Surname,GivenName,Party,StartDate,StartDateUnix,EndDate,EndDateUnix,End,Start,Length,MethodOfDeparture
1,Barton,Edmund,PROT,1901-01-01,-2177452800000,1903-09-24,-2091398400000,1780272000000,-2177452800000,"2 years, 8 months, 24 days",Appointed Justice of High Court
2,Deakin,Alfred,PROT,1903-09-24,-2091398400000,1904-04-27,-2072736000000,1780272000000,-2177452800000,"7 months, 4 days",Resigned Following House Amendment of Conciliation and Arbitration Bill
3,Watson,John Christian,ALP,1904-04-27,-2072736000000,1904-08-17,-2063059200000,1780272000000,-2177452800000,"3 months, 21 days",Resigned Following House Amendment of Conciliation and Arbitration Bill and Governor-Generals Refusal To Dissolve House
4,Reid,George Houston,FT,1904-08-18,-2062972800000,1905-07-05,-2035238400000,1780272000000,-2177452800000,"10 months, 18 days",Resigned Following House Amendment of Address-In-Reply and Governor-Generals Refusal to Dissolve House
,Deakin,Alfred,PROT,1905-07-05,-2035238400000,1908-11-13,-1929225600000,1780272000000,-2177452800000,"3 years, 4 months, 9 days",Defeated on Floor of House
5,Fisher,Andrew,ALP,1908-11-13,-1929225600000,1909-06-02,-1911859200000,1780272000000,-2177452800000,"6 months, 21 days",Resigned Following Defeat on Floor of House and Governor-Generals Refusal to Dissolve House
,Deakin,Alfred,LIB,1909-06-02,-1911859200000,1910-04-29,-1883260800000,1780272000000,-2177452800000,"10 months, 28 days",Defeated at General Election
,Fisher,Andrew,ALP,1910-04-29,-1883260800000,1913-06-24,-1783728000000,1780272000000,-2177452800000,"3 years, 1 month, 26 days",Defeated at General Election
6,Cook,Joseph,LIB,1913-06-24,-1783728000000,1914-09-17,-1744848000000,1780272000000,-2177452800000,"1 year, 2 months, 25 days",Defeated at General Election
,Fisher,Andrew,ALP,1914-09-17,-1744848000000,1915-10-27,-1709856000000,1780272000000,-2177452800000,"1 year, 1 month, 11 days","Resigned, Appointed High Commissioner to London"
7,Hughes,William Morris,ALP,1915-10-27,-1709856000000,1916-11-14,-1676678400000,1780272000000,-2177452800000,"1 year, 18 days",Expelled from Labor Party
,Hughes,William Morris,NAT,1916-11-14,-1676678400000,1923-02-09,-1479859200000,1780272000000,-2177452800000,"6 years, 2 months, 26 days",Country Party vetoed Hughes as PM in coalition
8,Bruce,Stanley Melbourne,NAT,1923-02-09,-1479859200000,1929-10-22,-1268438400000,1780272000000,-2177452800000,"6 years, 8 months, 14 days",Defeated and Lost Seat at General Election
9,Scullin,James Henry,ALP,1929-10-22,-1268438400000,1932-01-06,-1198800000000,1780272000000,-2177452800000,"2 years, 2 months, 16 days",Defeated at General Election Following Party Split
10,Lyons,Joseph Aloysius,UAP,1932-01-06,-1198800000000,1939-04-07,-970012800000,1780272000000,-2177452800000,"7 years, 3 months, 2 days",Died in Office
11,Page,Earle Christmas Grafton,CP,1939-04-07,-970012800000,1939-04-26,-968371200000,1780272000000,-2177452800000,20 days,Relinquished Position to new UAP Leader
12,Menzies,Robert Gordon,UAP,1939-04-26,-968371200000,1941-08-29,-894412800000,1780272000000,-2177452800000,"2 years, 4 months, 4 days",Resigned
13,Fadden,Arthur William,CP,1941-08-29,-894412800000,1941-10-07,-891043200000,1780272000000,-2177452800000,"1 month, 9 days",Defeated on Floor of House
14,Curtin,John,ALP,1941-10-07,-891043200000,1945-07-05,-772934400000,1780272000000,-2177452800000,"3 years, 8 months, 29 days",Died in Office
15,Forde,Francis Michael,ALP,1945-07-06,-772848000000,1945-07-13,-772243200000,1780272000000,-2177452800000,8 days,Relinquished Position to New ALP Leader
16,Chifley,Joseph Benedict,ALP,1945-07-13,-772243200000,1949-12-19,-632275200000,1780272000000,-2177452800000,"4 years, 5 months, 7 days",Defeated at General Election
,Menzies,Robert Gordon,LIB,1949-12-19,-632275200000,1966-01-26,-124070400000,1780272000000,-2177452800000,"16 years, 1 month, 7 days",Retired
17,Holt,Harold Edward,LIB,1966-01-26,-124070400000,1967-12-19,-64281600000,1780272000000,-2177452800000,"1 year, 10 months, 23 days","Missing, Presumed Drowned"
18,McEwen,John,CP,1967-12-19,-64281600000,1968-01-10,-62380800000,1780272000000,-2177452800000,23 days,Relinquished Position to New Liberal Leader
19,Gorton,John Grey,LIB,1968-01-10,-62380800000,1971-03-10,37411200000,1780272000000,-2177452800000,"3 years, 2 months",Technically resigned as leader but effectively deposed
20,McMahon,William,LIB,1971-03-10,37411200000,1972-12-05,92361600000,1780272000000,-2177452800000,"1 year, 8 months, 25 days",Defeated at General Election
21,Whitlam,Edward Gough,ALP,1972-12-05,92361600000,1975-11-11,184896000000,1780272000000,-2177452800000,"2 years, 11 months, 7 days",Commission Terminated by Governor-General
22,Fraser,John Malcolm,LIB,1975-11-11,184896000000,1983-03-11,416188800000,1780272000000,-2177452800000,"7 years, 4 months",Defeated at General Election
23,Hawke,Robert James Lee,ALP,1983-03-11,416188800000,1991-12-20,693187200000,1780272000000,-2177452800000,"8 years, 9 months, 9 days",Deposed as Party Leader
24,Keating,Paul John,ALP,1991-12-20,693187200000,1996-03-11,826502400000,1780272000000,-2177452800000,"4 years, 2 months, 20 days",Defeated at General Election
25,Howard,John Winston,LIB,1996-03-11,826502400000,2007-12-03,1196640000000,1780272000000,-2177452800000,"11 years, 8 months, 22 days",Defeated and Lost Seat at General Election
26,Rudd,Kevin Michael,ALP,2007-12-03,1196640000000,2010-06-24,1277337600000,1780272000000,-2177452800000,"2 years, 6 months, 21 days",Deposed as Party Leader
27,Gillard,Julia Eileen,ALP,2010-06-24,1277337600000,2013-06-27,1372291200000,1780272000000,-2177452800000,"3 years, 3 days",Deposed as Party Leader
,Rudd,Kevin Michael,ALP,2013-06-27,1372291200000,2013-09-18,1379462400000,1780272000000,-2177452800000,"2 months, 22 days",Defeated at General Election
28,Abbott,Anthony John,LIB,2013-09-18,1379462400000,2015-09-15,1442275200000,1780272000000,-2177452800000,"1 year, 11 months, 28 days",Deposed as Party Leader
29,Turnbull,Malcolm Bligh,LIB,2015-09-15,1442275200000,2018-08-24,1535068800000,1780272000000,-2177452800000,"2 years, 11 months, 9 days",Deposed as Party Leader
30,Morrison,Scott John,LIB,2018-08-24,1535068800000,2022-05-23,1653264000000,1780272000000,-2177452800000,"3 years, 8 months, 30 days",Defeated at General Election
31,Albanese,Anthony Norman,ALP,2022-05-23,1653264000000,2026-06-01,1780272000000,1780272000000,-2177452800000,,
