Row,State,PartyNm,PartyAb,Seats,Lat,Long,Percentage,Numbers,Text,Display
1,Australian Capital Territory,David Pocock,DAVI,1,-35,157,0.5,,,
2,Australian Capital Territory,Australian Labor Party,ALP,1,-35,157,0.5,28,Seats held by the Australian Labor Party #across all 8 states and territories.,1
3,New South Wales,Australian Labor Party,ALP,4,-31,147,0.333333,,,
4,New South Wales,Liberal Party,LP,4,-31,147,0.333333,27,Seats held by the Liberal-National Coalition #across all 6 states and the Northern #Territory.,2
7,New South Wales,Australian Greens,GRN,2,-31,147,0.166667,11,Seats held by the Australian Greens across #all 6 states.,3
8,New South Wales,Pauline Hanson's One Nation,ON,1,-31,147,0.083333,4,"Seats held by Pauline Hanson's One Nation #across Western Australia, Queensland, #and New South Wales.",4
9,Northern Territory,Australian Labor Party,ALP,1,-20,133,0.5,,,
10,Northern Territory,Country Liberal Party,CLP,1,-20,133,0.5,,,
11,Queensland,Liberal National Party of Queensland,LNP,4,-23,143,0.333333,,,
12,Queensland,Australian Labor Party,ALP,4,-23,143,0.333333,,,
15,Queensland,Australian Greens,GRN,2,-23,143,0.166667,,,
16,Queensland,Pauline Hanson's One Nation,ON,2,-23,143,0.166667,,,
17,South Australia,Australian Labor Party,ALP,5,-30,135,0.416667,,,
18,South Australia,Liberal Party,LP,5,-30,135,0.416667,,,
21,South Australia,Australian Greens,GRN,2,-30,135,0.166667,,,
23,Tasmania,Australian Labor Party,ALP,4,-42,155,0.333333,,,
24,Tasmania,Liberal Party,LP,4,-42,155,0.333333,,,
26,Tasmania,Independent,IND,1,-42,155,0.083333,2,Seats held by Independents across Victoria #and Tasmania. Both resulted from the #senators separating from their respective #parties.,5
25,Tasmania,Australian Greens,GRN,2,-42,155,0.166667,,,
27,Tasmania,Jacqui Lambie Network,JLN,1,-42,155,0.083333,1,"Seat held by Australia's Voice, David #Pocock, Jaquie Lambie Network, and #Palmer United Australia Party each.",6
29,Victoria,Australian Labor Party,ALP,5,-37,145,0.416667,,,
32,Victoria,Liberal Party,LP,3,-37,145,0.25,,,
33,Victoria,Australian Greens,GRN,1,-37,145,0.083333,,,
35,Western Australia,Australian Labor Party,ALP,4,-26,121,0.333333,,,
36,Western Australia,Liberal Party,LP,4,-26,121,0.333333,,,
38,Western Australia,Australian Greens,GRN,2,-26,121,0.166667,,,
39,Western Australia,Australia's Voice,AV,1,-26,121,0.083333,,,
40,Western Australia,Pauline Hanson's One Nation,ON,1,-26,121,0.083333,,,
45,New South Wales,The Nationals,NP,1,-31,147,0.083333,,,
71,Victoria,The Nationals,NP,1,-37,145,0.083333,,,
74,Victoria,Palmer United Australia Party,UAPP,1,-37,145,0.083333,,,
74,Victoria,Independent,IND,1,-37,145,0.083333,,,
