DivisionID,DivisionNm,State,TotalVotes,TotalPercentage,Year,Percent,AnnotationAUS,AnnotationACT,AnnotationNSW,AnnotationNT,AnnotationQLD,AnnotationSA,AnnotationTAS,AnnotationVIC,AnnotationWA
306,Lingiari,Northern Territory,48198,62.74,2025,0.6274,The electorate with the lowest voter turnout is #Lingiari in the Northern Territory with a turnout of,,,The electorate in the Northern Territory with #the lowest voter turnout is Lingiari with a #voter turnout of,,,,,
312,Durack,Western Australia,94029,78.4,2025,0.784,,,,,,,,,The electorate in Western Australia #with the lowest voter turnout is #Durack with a voter turnout of
307,Solomon,Northern Territory,62195,79.03,2025,0.7903,,,,The electorate in the Northern Territory with #the highest voter turnout is Solomon with a #voter turnout of,,,,,
168,Leichhardt,Queensland,97231,79.21,2025,0.7921,,,,,The electorate in Queensland with #the lowest voter turnout is #Leichhart with a voter turnout of,,,,
174,Oxley,Queensland,102797,83.95,2025,0.8395,,,,,,,,,
251,Watson,New South Wales,98787,84.85,2025,0.8485,,,The electorate in New South Wales #with the lowest voter turnout is #Watson with a voter turnout of,,,,,,
317,Burt,Western Australia,103199,86,2025,0.86,,,,,,,,,
107,Blaxland,New South Wales,100455,86.07,2025,0.8607,,,,,,,,,
176,Rankin,Queensland,98958,86.09,2025,0.8609,,,,,,,,,
171,McPherson,Queensland,104756,86.19,2025,0.8619,,,,,,,,,
162,Forde,Queensland,115604,86.27,2025,0.8627,,,,,,,,,
235,Brand,Western Australia,97117,86.36,2025,0.8636,,,,,,,,,
165,Herbert,Queensland,105088,86.65,2025,0.8665,,,,,,,,,
243,O'Connor,Western Australia,105755,86.68,2025,0.8668,,,,,,,,,
203,Calwell,Victoria,100170,86.7,2025,0.867,,,,,,,,The electorate in Victoria with the #lowest voter turnout is Calwell with a #voter turnout of,
247,Swan,Western Australia,100732,86.76,2025,0.8676,,,,,,,,,
159,Fadden,Queensland,118554,87.34,2025,0.8734,,,,,,,,,
325,Spence,South Australia,121432,87.43,2025,0.8743,,,,,,The electorate in South Australia with #the lowest voter turnout is Spence #with a voter turnout of,,,
236,Canning,Western Australia,104285,87.44,2025,0.8744,,,,,,,,,
172,Moncrieff,Queensland,109964,87.47,2025,0.8747,,,,,,,,,
158,Dawson,Queensland,102604,87.54,2025,0.8754,,,,,,,,,
153,Werriwa,New South Wales,103317,87.71,2025,0.8771,,,,,,,,,
149,Sydney,New South Wales,111864,87.77,2025,0.8777,,,,,,,,,
305,Hasluck,Western Australia,99446,87.81,2025,0.8781,,,,,,,,,
245,Perth,Western Australia,100561,87.86,2025,0.8786,,,,,,,,,The electorate in Western Australia #with the median voter turnout is Perth #with a voter turnout of
167,Kennedy,Queensland,108749,87.92,2025,0.8792,,,,,,,,,
244,Pearce,Western Australia,101364,87.93,2025,0.8793,,,,,,,,,
175,Petrie,Queensland,118725,88.36,2025,0.8836,,,,,,,,,
205,Chisholm,Victoria,108563,88.45,2025,0.8845,,,,,,,,,
316,Wright,Queensland,124286,88.59,2025,0.8859,,,,,,,,,
321,Fraser,Victoria,110029,88.6,2025,0.886,,,,,,,,,
228,Melbourne,Victoria,100505,88.65,2025,0.8865,,,,,,,,,
237,Cowan,Western Australia,103535,88.88,2025,0.8888,,,,,,,,,
311,Flynn,Queensland,104880,88.96,2025,0.8896,,,,,,,,,
111,Chifley,New South Wales,103780,88.97,2025,0.8897,,,,,,,,,
152,Wentworth,New South Wales,113457,89.01,2025,0.8901,,,,,,,,,
322,Macnamara,Victoria,102004,89.03,2025,0.8903,,,,,,,,,
302,Longman,Queensland,127320,89.19,2025,0.8919,,,,,,,,,
166,Hinkler,Queensland,113958,89.24,2025,0.8924,,,,,The electorate in Queensland with #the median voter turnout is Hinkler #with a voter turnout of,,,,
157,Capricornia,Queensland,102779,89.26,2025,0.8926,,,,,,,,,
173,Moreton,Queensland,97595,89.32,2025,0.8932,,,,,,,,,
139,Parkes,New South Wales,116909,89.35,2025,0.8935,,,,,,,,,
239,Forrest,Western Australia,105066,89.43,2025,0.8943,,,,,,,,,
318,Bean,Australian Capital Territory,101885,89.47,2025,0.8947,,The electorate in the Australian Capital #Territory with the lowest voter turnout #is Bean with a voter turnout of,,,,,,,
329,Bullwinkel,Western Australia,108720,89.58,2025,0.8958,,,,,,,,,
127,Kingsford Smith,New South Wales,105180,89.59,2025,0.8959,,,,,,,,,
156,Brisbane,Queensland,114355,89.68,2025,0.8968,,,,,,,,,
170,Maranoa,Queensland,103615,89.69,2025,0.8969,,,,,,,,,
240,Fremantle,Western Australia,106154,89.71,2025,0.8971,,,,,,,,,
183,Grey,South Australia,115678,89.88,2025,0.8988,,,,,,,,,
161,Fisher,Queensland,125044,89.92,2025,0.8992,,,,,,,,,
145,Richmond,New South Wales,114285,90.12,2025,0.9012,,,,,,,,,
201,Bruce,Victoria,115095,90.18,2025,0.9018,,,,,,,,,
178,Wide Bay,Queensland,111138,90.24,2025,0.9024,,,,,,,,,
222,Lalor,Victoria,103428,90.33,2025,0.9033,,,,,,,,,
115,Dobell,New South Wales,110982,90.57,2025,0.9057,,,,,,,,,
131,Macarthur,New South Wales,104230,90.63,2025,0.9063,,,,,,,,,
160,Fairfax,Queensland,118592,90.77,2025,0.9077,,,,,,,,,
163,Griffith,Queensland,112483,90.77,2025,0.9077,,,,,,,,,
113,Cowper,New South Wales,119573,90.83,2025,0.9083,,,,,,,,,
315,McMahon,New South Wales,109811,91.1,2025,0.911,,,,,,,,,
326,Hawke,Victoria,108244,91.13,2025,0.9113,,,,,,,,,
310,Bonner,Queensland,103439,91.14,2025,0.9114,,,,,,,,,
140,Parramatta,New South Wales,107138,91.18,2025,0.9118,,,,,,,,,
155,Bowman,Queensland,112173,91.24,2025,0.9124,,,,,,,,,
