StateAb,GivenNm,Surname,PartyNm,PartyAb,Year
ACT,David,POCOCK,David Pocock,DAVI,2025
ACT,Katy,GALLAGHER,Australian Labor Party,ALP,2025
NSW,Tony,SHELDON,Labor,ALP,2025
NSW,Andrew,BRAGG,Liberal,LP,2025
NSW,Tim,AYRES,Labor,ALP,2025
NSW,Jessica,COLLINS,Liberal,LP,2025
NSW,Mehreen,FARUQI,The Greens,GRN,2025
NSW,Warwick,STACEY,Pauline Hanson's One Nation,ON,2025
NT,Malarndirri,McCARTHY,Australian Labor Party (Northern Territory) Branch,ALP,2025
NT,Jacinta Nampijinpa,PRICE,NT CLP,CLP,2025
QLD,Paul,SCARR,LNP,LNP,2025
QLD,Nita,GREEN,Australian Labor Party,ALP,2025
QLD,Susan,McDONALD,LNP,LNP,2025
QLD,Corinne,MULHOLLAND,Australian Labor Party,ALP,2025
QLD,Larissa,WATERS,The Greens,GRN,2025
QLD,Malcolm,ROBERTS,Pauline Hanson's One Nation,ON,2025
SA,Marielle,SMITH,Australian Labor Party,ALP,2025
SA,Alex,ANTIC,Liberal,LP,2025
SA,Karen,GROGAN,Australian Labor Party,ALP,2025
SA,Anne,RUSTON,Liberal,LP,2025
SA,Sarah,HANSON-YOUNG,The Greens,GRN,2025
SA,Charlotte,WALKER,Australian Labor Party,ALP,2025
TAS,Carol,BROWN,Australian Labor Party,ALP,2025
TAS,Claire,CHANDLER,Liberal,LP,2025
TAS,Nick,McKIM,The Greens,GRN,2025
TAS,Richard,DOWLING,Australian Labor Party,ALP,2025
TAS,Jacqui,LAMBIE,Jacqui Lambie Network,JLN,2025
TAS,Richard Mansell,COLBECK,Liberal,LP,2025
VIC,Raffaele,CICCONE,Australian Labor Party,ALP,2025
VIC,James,PATERSON,Liberal,LP,2025
VIC,Jess,WALSH,Australian Labor Party,ALP,2025
VIC,Jane,HUME,Liberal,LP,2025
VIC,Steph,HODGINS-MAY,The Greens,GVIC,2025
VIC,Michelle,ANANDA-RAJAH,Australian Labor Party,ALP,2025
WA,Ellie,WHITEAKER,Australian Labor Party,ALP,2025
WA,Slade,BROCKMAN,Liberal,LP,2025
WA,Varun,GHOSH,Australian Labor Party,ALP,2025
WA,Jordon,STEELE-JOHN,The Greens (WA) Inc,GRN,2025
WA,Matt,O'SULLIVAN,Liberal,LP,2025
WA,Tyron,WHITTEN,Pauline Hanson's One Nation,ON,2025
ACT,Katy,GALLAGHER,Australian Labor Party,ALP,2022
ACT,David,POCOCK,David Pocock,DAVI,2022
NSW,Marise,PAYNE,Liberal,LP,2022
NSW,Deborah,O'NEILL,Labor,ALP,2022
NSW,Ross,CADELL,The Nationals,NP,2022
NSW,Jenny,McALLISTER,Labor,ALP,2022
NSW,David,SHOEBRIDGE,The Greens,GRN,2022
NSW,Jim,MOLAN,Liberal,LP,2022
NT,Malarndirri,McCARTHY,A.L.P.,ALP,2022
NT,Jacinta Nampijinpa,PRICE,NT CLP,CLP,2022
QLD,James,McGRATH,Liberal National Party of Queensland,LNP,2022
QLD,Murray,WATT,Australian Labor Party,ALP,2022
